	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
TRIM68	3.36773	5.39365	5.25047	4.01465	1.83733	4.88131	3.07163	2.98413	2.91821	3.59141	3.95971	8.7196	2.70166	4.37667	2.50819	5.09776
TRIM69	1.10763	18.17674	0.47879	1.75645	0.59234	0.25336	0.1831	0.46249	1.50814	0.12362	0.56832	0.56509	0.20273	0.72312	1.03164	0.5969
TRIM7	0.99002	0.7523	1.21317	0.74911	0.44712	1.60186	0.67088	0.64083	0.38263	1.65828	0.77401	0.99447	0.05592	1.25706	7.40047	0.42573
TRIM71	0.0	2.02633	0.0	0.0	0.171	0.0	0.00642	0.01192	0.07231	0.0	0.0	0.13962	0.0	0.14173	0.0	0.01326
TRIM72	0.42548	0.77872	0.0	0.03878	0.03896	14.16229	0.05522	0.0359	0.12965	1.08517	0.0937	0.03767	0.0	0.00752	37.96707	0.0402
TRIM77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01458	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM78P	0.56138	0.88488	2.10248	4.02858	1.88354	0.786	0.30485	1.60191	0.2155	0.71111	0.91879	1.9378	0.26828	0.22758	0.40489	1.47046
TRIM8	27.58195	25.74376	39.78113	42.75179	49.40602	37.08933	57.76395	33.20182	23.93789	77.0583	40.18544	38.69875	13.6458	45.08383	26.88535	32.72346
TRIM9	0.10857	1.04277	0.41352	0.36915	0.15048	0.30289	0.21548	0.08664	17.18435	0.19132	1.7481	0.37095	0.4992	0.0261	0.09925	0.15714
TRIML1	0.0	4.82158	0.0	0.0	0.0	0.0	0.04286	0.0	0.0	0.01786	0.0	0.0	0.0	0.0	0.0	0.0
TRIML2	0.05093	1.15469	0.0	0.0	0.0	0.0	0.0	0.0	0.06071	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIO	6.15335	5.95366	5.78393	4.16619	4.46528	6.14372	7.5055	5.85526	6.71864	6.20625	5.22605	4.60691	1.68377	4.0201	2.90935	8.07885
TRIOBP	6.59138	5.86134	7.47502	4.52257	5.55967	4.32817	8.64313	6.17769	0.98303	5.73542	5.77156	4.99867	1.00615	5.05271	1.41085	9.64697
TRIP10	35.4134	26.38347	38.22154	27.15497	89.68209	32.70431	30.13094	25.2775	5.20718	24.9393	41.29752	27.64457	1.91351	1.56415	124.30409	50.6345
TRIP11	8.12364	10.48601	6.21762	3.60068	2.53985	8.05342	5.58972	3.50998	2.67342	5.73271	5.50749	10.28154	2.78587	6.21958	7.23912	10.194
TRIP12	36.36293	83.1033	25.71087	26.46336	29.5725	34.35784	45.59563	24.23996	23.04145	34.08358	37.54873	34.44605	10.08928	52.305	38.29042	31.75913
TRIP13	0.49401	18.64411	0.53449	0.7695	1.58493	0.51505	0.7796	1.47144	0.62604	0.96317	0.46402	0.73699	0.08259	0.18947	0.27119	1.7165
TRIP4	6.79422	13.06882	14.02247	10.54061	5.95496	19.4883	8.78139	10.47871	4.43401	10.46222	9.6012	14.97013	3.81671	17.01184	4.91825	12.8319
TRIP6	5.83631	19.43857	23.60455	11.21466	13.56258	31.72587	17.20748	17.12686	6.73513	22.78908	13.77434	24.3947	7.63053	1.71692	1.68887	22.20693
TRIT1	8.17952	10.50698	10.15145	5.19801	3.16659	11.83899	4.25768	11.09584	5.28167	4.43683	5.06231	6.56289	3.0679	5.85266	1.91133	11.0393
TRMT1	3.40402	10.02307	9.16975	13.90457	5.07453	9.23164	6.78513	15.56261	4.99736	5.96689	4.99547	7.71439	3.61952	5.5102	13.69517	9.38618
TRMT11	4.11132	6.89708	9.86062	5.73753	7.51197	9.67073	4.7632	5.07193	6.5507	4.25577	5.85241	6.60499	6.0856	3.29083	1.86808	7.40191
TRMT112	41.51277	245.02584	119.95422	113.36793	97.05172	232.98964	162.76039	197.74683	77.46539	117.86935	189.08861	88.0182	46.25764	82.12628	58.68572	253.76705
TRMT12	4.35183	6.18218	6.20226	6.23164	2.90569	7.0581	4.13373	6.23725	2.82855	4.76859	4.2746	6.59877	2.59669	7.76824	4.3051	6.6037
TRMT2A	2.16363	9.46097	5.93523	5.93442	3.01075	7.37676	4.22893	6.30734	2.95454	4.77058	2.81552	4.83588	3.26601	5.1359	4.9887	6.12194
TRMT2B	6.87741	2.85029	3.49948	5.19864	1.9455	6.73165	3.43133	6.28566	2.2242	4.72584	2.93315	6.72162	1.95122	7.4766	3.04109	5.2056
TRMT5	2.04877	10.03786	3.75304	2.75807	1.6362	3.87007	3.70894	3.04961	2.42161	4.34476	3.74727	5.29016	1.77041	2.88272	2.14512	8.09429
TRMT6	6.53322	17.59619	7.03289	5.01403	2.59758	11.93598	5.00656	10.48707	11.99994	4.94169	3.38617	9.26618	3.70198	10.19233	12.31499	12.14859
TRMT61A	1.01438	4.25686	6.43499	2.36081	1.53669	5.34014	2.60691	5.55111	2.26445	3.04652	4.95233	3.55111	2.43465	2.21387	1.39118	4.12902
TRMT61B	9.13208	6.82288	5.00036	3.40742	1.56019	7.63389	4.28612	6.68129	5.54995	5.49952	2.83486	5.29113	3.49832	4.47485	3.65258	7.45383
TRMU	9.76136	5.19275	5.74311	7.20231	1.83675	5.96269	2.26322	5.39172	5.30567	3.19201	3.71196	8.49973	3.71874	2.40073	0.84961	4.50642
TRNAU1AP	4.75786	4.74114	7.70346	7.20801	5.84153	6.13911	6.22698	7.0879	4.5102	6.75434	6.02749	7.11426	2.9519	6.27803	2.47419	6.42503
TRNP1	12.96396	4.63874	17.9406	7.53317	7.53517	2.12488	2.7668	4.12571	14.13481	2.4409	11.42952	15.15601	2.49072	0.81318	1.25791	3.5865
TRNT1	5.48562	7.43971	8.21506	8.58458	5.17417	7.50982	5.39551	5.83556	5.53858	6.03605	7.7715	12.97886	3.5372	7.24043	3.37698	8.20835
TRO	0.73715	1.5849	2.07536	2.2387	1.16828	1.90796	0.62832	1.43848	8.22421	1.50263	0.66545	3.44003	0.23827	0.09403	0.41829	7.0136
TROAP	0.08713	7.78863	0.14277	0.67259	0.31457	0.16139	0.19846	0.35195	0.00692	0.09613	0.1349	0.02132	0.01978	0.16728	0.02635	0.16947
TROVE2	7.60035	11.48254	5.43447	4.85625	4.87771	7.29468	11.69285	5.59324	10.20683	8.44376	6.92837	4.58814	1.90247	9.52758	4.49244	9.65926
TRPA1	0.032	0.20683	2.18782	0.07501	0.0	0.01098	0.01158	0.17688	0.18618	0.1456	2.20864	0.0	0.0	0.00127	0.0	0.08826
TRPC1	4.68754	5.32372	7.65604	2.582	2.41008	3.18111	2.93629	2.45161	7.07017	2.76237	3.3159	3.01256	0.17871	0.41099	0.64802	9.8233
TRPC2	0.05568	0.10456	0.09401	0.25536	0.8424	0.06369	0.24565	0.07866	0.01095	0.15054	0.0	0.03409	0.01581	0.46245	0.0	0.2084
TRPC3	0.08537	0.39463	0.69083	0.0815	0.22705	0.11454	0.23377	0.01034	0.96165	0.15227	0.04457	0.16799	0.0	0.0	0.03634	0.16717
TRPC4	0.4976	1.02201	2.31583	0.49637	4.91902	0.60404	0.52848	0.46815	1.18308	0.11233	1.36326	0.57899	0.01175	0.05308	0.03817	1.01438
TRPC4AP	17.50441	21.38091	19.00632	22.10801	17.50038	24.57694	21.99943	22.80256	23.00969	25.73791	13.2869	25.27848	15.40833	28.96396	37.35253	21.73099
TRPC5	0.00756	0.0	0.0	0.0	0.0	0.06279	0.0069	0.02402	0.74216	0.01677	0.0	0.01388	0.35416	0.0	0.0	0.00284
TRPC6	0.48325	1.29353	0.90673	1.29155	14.81844	3.21677	2.6376	0.54151	0.38539	2.7415	2.52692	1.65694	0.01427	0.23845	0.06517	1.12185
TRPC7	0.00489	0.13554	0.0	0.0	0.0	0.02173	0.0	0.0	0.0	0.0	0.0	0.09404	0.0	0.0	0.0	0.0
TRPM1	0.0	0.91326	0.0	0.0	0.0	0.0	0.02046	0.02764	0.01093	0.034	0.00458	0.02807	0.0	0.0	0.0	0.00306
TRPM2	0.283	0.55273	0.48858	1.10496	0.21118	0.24598	0.32775	1.79771	2.62415	0.67961	0.21492	0.48124	0.11991	2.84851	0.08153	0.47928
TRPM3	0.09779	0.31684	0.16626	0.06217	0.03407	0.19535	0.05185	0.1288	3.90212	0.04634	0.03938	1.62018	0.03929	0.0	0.0	0.44728
TRPM4	1.96827	2.99476	5.8027	2.57328	6.85224	3.72157	5.7179	3.7145	1.12241	5.1339	6.02113	10.78226	1.93865	0.25467	2.91005	1.32198
TRPM5	0.0	0.20466	0.22306	0.053	0.01281	0.17335	0.0	0.00238	0.0	0.0	0.077	0.26332	0.00239	0.0	0.0	0.0
TRPM6	0.07798	0.79852	0.05598	0.08619	0.25132	0.08681	0.14351	0.31256	1.72186	0.31117	0.10512	0.80301	0.01525	0.33887	0.02479	0.06241
TRPM7	12.09767	6.13527	5.86806	6.98236	3.18104	9.44828	5.63667	7.53769	2.38776	6.97896	3.6317	12.30678	4.10392	7.87101	2.22265	9.14149
TRPM8	0.01374	0.28967	3.28169	0.01543	0.0	0.0101	0.0	0.00333	0.04065	0.00348	0.0	0.03605	11.65846	0.01295	0.0	0.00885
TRPS1	1.32538	4.79826	5.04042	2.7704	3.1023	2.6633	2.97	1.40024	3.08801	10.45471	3.39768	4.10656	0.26972	5.23675	1.75431	3.83311
TRPT1	24.16324	15.9098	14.90329	10.28378	7.93755	7.45615	8.24406	9.88906	5.20042	8.37347	8.64462	17.49395	8.1194	6.68221	37.15522	6.77422
TRPV1	0.60986	1.12468	1.46445	2.6265	0.39264	0.93783	1.12526	2.88707	1.0842	1.31425	0.92611	2.12868	0.82955	0.24981	0.90961	2.40491
TRPV2	3.61112	3.04231	4.72887	7.58787	16.28132	2.51201	9.39966	9.20402	1.74329	6.20562	5.86952	2.35541	0.98992	20.8443	1.0136	5.69062
TRPV3	0.09531	0.29701	0.13788	0.39986	0.02452	0.05436	0.17628	0.5224	0.79681	0.17161	0.13207	0.01778	0.05497	0.08748	0.15348	0.21135
TRPV4	0.16407	0.74957	0.58784	0.39318	1.27298	0.16736	0.45585	0.90221	0.16149	0.74354	0.0287	4.90883	0.9156	0.26213	0.0	0.77752
TRPV5	0.0	0.04334	0.0	0.0	0.0	0.0	0.0	0.04048	0.1389	0.0	0.0	1.11668	0.0	0.03253	0.0	0.00667
TRPV6	0.0305	1.34072	3.24386	0.10348	0.15645	0.43246	0.00278	0.05488	1.48463	0.59114	0.04181	2.18276	0.12667	0.00196	0.0	0.16672
TRRAP	3.77566	7.09484	4.38716	6.03603	3.02599	6.08046	4.36119	5.14774	2.6595	2.93624	2.89565	3.99042	1.9299	8.54879	2.791	6.3541
