og_00000355	entrez_gi:7385	official_symbol:UQCRC2
og_00000356	entrez_gi:7511	official_symbol:XPNPEP1
og_00000357	entrez_gi:7512	official_symbol:XPNPEP2
og_00000358	entrez_gi:7384	official_symbol:UQCRC1
og_00000359	entrez_gi:2677	official_symbol:GGCX
og_00000360	entrez_gi:89932	official_symbol:PAPLN
og_00000361	entrez_gi:54884	official_symbol:RETSAT
og_00000362	entrez_gi:135293	official_symbol:PM20D2
og_00000363	entrez_gi:126295	official_symbol:ZNF57
og_00000364	entrez_gi:10657	official_symbol:KHDRBS1
og_00000365	entrez_gi:728963	official_symbol:RPS15AP10
og_00000366	entrez_gi:10656	official_symbol:KHDRBS3
og_00000367	entrez_gi:202559	official_symbol:KHDRBS2
og_00000368	entrez_gi:2318	official_symbol:FLNC
og_00000369	entrez_gi:23533	official_symbol:PIK3R5
og_00000370	entrez_gi:161725	official_symbol:OTUD7A
og_00000371	entrez_gi:5967	official_symbol:REG1A
og_00000372	entrez_gi:3973	official_symbol:LHCGR
og_00000373	entrez_gi:158131	official_symbol:OR1Q1
og_00000374	entrez_gi:2322	official_symbol:FLT3
og_00000375	entrez_gi:151507	official_symbol:MSL3P1
og_00000376	entrez_gi:738	official_symbol:C11orf2
og_00000377	entrez_gi:10570	official_symbol:DPYSL4
og_00000378	entrez_gi:80222	official_symbol:TARS2
og_00000379	entrez_gi:1808	official_symbol:DPYSL2
og_00000380	entrez_gi:1809	official_symbol:DPYSL3
og_00000381	entrez_gi:28962	official_symbol:OSTM1
og_00000382	entrez_gi:745	official_symbol:C11orf9
og_00000383	entrez_gi:386685	official_symbol:KRTAP10-12
og_00000384	entrez_gi:386678	official_symbol:KRTAP10-11
og_00000385	entrez_gi:353333	official_symbol:KRTAP10-10
og_00000386	entrez_gi:3485	official_symbol:IGFBP2
og_00000387	entrez_gi:3486	official_symbol:IGFBP3
og_00000388	entrez_gi:57622	official_symbol:LRFN1
og_00000389	entrez_gi:3484	official_symbol:IGFBP1
og_00000390	entrez_gi:23246	official_symbol:BOP1
og_00000391	entrez_gi:3490	official_symbol:IGFBP7
og_00000392	entrez_gi:3487	official_symbol:IGFBP4
og_00000393	entrez_gi:3488	official_symbol:IGFBP5
og_00000394	entrez_gi:6502	official_symbol:SKP2
og_00000395	entrez_gi:120227	official_symbol:CYP2R1
og_00000396	entrez_gi:51192	official_symbol:CKLF
og_00000397	entrez_gi:7746	official_symbol:ZNF193
og_00000398	entrez_gi:161502	official_symbol:C15orf26
og_00000399	entrez_gi:2697	official_symbol:GJA1
og_00000400	entrez_gi:56851	official_symbol:C15orf24
og_00000401	entrez_gi:2700	official_symbol:GJA3
og_00000402	entrez_gi:2701	official_symbol:GJA4
og_00000403	entrez_gi:90417	official_symbol:C15orf23
og_00000404	entrez_gi:2703	official_symbol:GJA8
og_00000405	entrez_gi:81025	official_symbol:GJA9
og_00000406	entrez_gi:5387	official_symbol:PMS2P3
og_00000407	entrez_gi:5382	official_symbol:PMS2P4
og_00000408	entrez_gi:5383	official_symbol:PMS2P5
og_00000409	entrez_gi:79768	official_symbol:C15orf29
og_00000410	entrez_gi:9294	official_symbol:S1PR2
og_00000411	entrez_gi:51780	official_symbol:KDM3B
og_00000412	entrez_gi:51351	official_symbol:ZNF117
og_00000413	entrez_gi:163071	official_symbol:ZNF114
og_00000414	entrez_gi:55818	official_symbol:KDM3A
og_00000415	entrez_gi:23544	official_symbol:SEZ6L
og_00000416	entrez_gi:60491	official_symbol:NIF3L1
og_00000417	entrez_gi:147798	official_symbol:TMC4
og_00000418	entrez_gi:8516	official_symbol:ITGA8
og_00000419	entrez_gi:11322	official_symbol:TMC6
og_00000420	entrez_gi:79905	official_symbol:TMC7
og_00000421	entrez_gi:51074	official_symbol:APIP
og_00000422	entrez_gi:117531	official_symbol:TMC1
og_00000423	entrez_gi:117532	official_symbol:TMC2
og_00000424	entrez_gi:342125	official_symbol:TMC3
og_00000425	entrez_gi:8890	official_symbol:EIF2B4
og_00000426	entrez_gi:8893	official_symbol:EIF2B5
og_00000427	entrez_gi:8892	official_symbol:EIF2B2
og_00000428	entrez_gi:8891	official_symbol:EIF2B3
og_00000429	entrez_gi:1967	official_symbol:EIF2B1
og_00000430	entrez_gi:5576	official_symbol:PRKAR2A
og_00000431	entrez_gi:5577	official_symbol:PRKAR2B
og_00000432	entrez_gi:131544	official_symbol:CRYBG3
og_00000433	entrez_gi:10628	official_symbol:TXNIP
og_00000434	entrez_gi:8698	official_symbol:S1PR4
og_00000435	entrez_gi:4291	official_symbol:MLF1
og_00000436	entrez_gi:23475	official_symbol:QPRT
og_00000437	entrez_gi:9742	official_symbol:IFT140
og_00000438	entrez_gi:8079	official_symbol:MLF2
og_00000439	entrez_gi:94158	official_symbol:CDRT15P1
og_00000440	entrez_gi:728262	official_symbol:FAM157A
og_00000441	entrez_gi:28978	official_symbol:TMEM14A
og_00000442	entrez_gi:8837	official_symbol:CFLAR
og_00000443	entrez_gi:2122	official_symbol:MECOM
og_00000444	entrez_gi:83861	official_symbol:RSPH3
og_00000445	entrez_gi:89765	official_symbol:RSPH1
og_00000446	entrez_gi:3428	official_symbol:IFI16
og_00000447	entrez_gi:55553	official_symbol:SOX6
og_00000448	entrez_gi:541468	official_symbol:LURAP1
og_00000449	entrez_gi:445577	official_symbol:C9orf129
og_00000450	entrez_gi:23040	official_symbol:MYT1L
og_00000451	entrez_gi:90871	official_symbol:C9orf123
og_00000452	entrez_gi:54102	official_symbol:CLIC6
og_00000453	entrez_gi:65979	official_symbol:PHACTR4
og_00000454	entrez_gi:25932	official_symbol:CLIC4
og_00000455	entrez_gi:3078	official_symbol:CFHR1
og_00000456	entrez_gi:57555	official_symbol:NLGN2
og_00000457	entrez_gi:54413	official_symbol:NLGN3
og_00000458	entrez_gi:10877	official_symbol:CFHR4
og_00000459	entrez_gi:22871	official_symbol:NLGN1
og_00000460	entrez_gi:81872	official_symbol:KRTAP2-1
og_00000461	entrez_gi:9142	official_symbol:CXorf1
og_00000462	entrez_gi:9933	official_symbol:KIAA0020
og_00000463	entrez_gi:60592	official_symbol:SCOC
og_00000464	entrez_gi:84248	official_symbol:FYTTD1
og_00000465	entrez_gi:3678	official_symbol:ITGA5
og_00000466	entrez_gi:10430	official_symbol:TMEM147
og_00000467	entrez_gi:432	official_symbol:ASGR1
og_00000468	entrez_gi:284339	official_symbol:TMEM145
og_00000469	entrez_gi:55314	official_symbol:TMEM144
og_00000470	entrez_gi:668	official_symbol:FOXL2
og_00000471	entrez_gi:3655	official_symbol:ITGA6
og_00000472	entrez_gi:85014	official_symbol:TMEM141
og_00000473	entrez_gi:2300	official_symbol:FOXL1
og_00000474	entrez_gi:7536	official_symbol:SF1
og_00000475	entrez_gi:56142	official_symbol:PCDHA6
og_00000476	entrez_gi:8539	official_symbol:API5
og_00000477	entrez_gi:219790	official_symbol:RTKN2
og_00000478	entrez_gi:285671	official_symbol:RNF180
og_00000479	entrez_gi:5027	official_symbol:P2RX7
og_00000480	entrez_gi:9728	official_symbol:SECISBP2L
og_00000481	entrez_gi:100133234	official_symbol:SBF1P1
og_00000482	entrez_gi:55215	official_symbol:FANCI
og_00000483	entrez_gi:57214	official_symbol:KIAA1199
og_00000484	entrez_gi:3113	official_symbol:HLA-DPA1
og_00000485	entrez_gi:26017	official_symbol:FAM32A
og_00000486	entrez_gi:57179	official_symbol:KIAA1191
og_00000487	entrez_gi:4234	official_symbol:METTL1
og_00000488	entrez_gi:654463	official_symbol:FER1L6
og_00000489	entrez_gi:2261	official_symbol:FGFR3
og_00000490	entrez_gi:81671	official_symbol:VMP1
og_00000491	entrez_gi:90342	official_symbol:FER1L5
og_00000492	entrez_gi:642394	official_symbol:ADARB2-AS1
og_00000493	entrez_gi:84460	official_symbol:ZMAT1
og_00000494	entrez_gi:64393	official_symbol:ZMAT3
og_00000495	entrez_gi:153527	official_symbol:ZMAT2
og_00000496	entrez_gi:55954	official_symbol:ZMAT5
og_00000497	entrez_gi:79698	official_symbol:ZMAT4
og_00000498	entrez_gi:55009	official_symbol:C19orf24
og_00000499	entrez_gi:148223	official_symbol:C19orf25
